goal_text,eating_goal,adaptaction_goal
I want to build muscle mass and increase strength,bulk,strength
I'd like to gain weight and have more muscles,bulk,hypertrophy
I'm focused on gaining strength and improving endurance,maintain,strength
I want to sculpt my body and lose fat,cut,hypertrophy
I want to maintain my current shape and get stronger,maintain,strength
I’d like to bulk up and look better,bulk,hypertrophy
I want to lose a few kilos and define my muscles,cut,hypertrophy
I'm aiming to improve my body shape and get stronger,bulk,strength
I want to improve endurance and strength,maintain,strength
I’d like a more defined body and better fitness,cut,hypertrophy
I want to grow muscle size and improve strength,bulk,strength
I’m focused on fat loss and muscle definition,cut,hypertrophy
I want to look better and feel stronger,bulk,strength
I want to be more athletic and stronger,maintain,strength
I'm trying to maintain my form and slowly gain some mass,maintain,hypertrophy
I want to get shredded and boost my conditioning,cut,hypertrophy
I want to train for gaining muscle mass,bulk,hypertrophy
I'd like to build mass and strength,bulk,strength
I want to improve looks and reduce body fat,cut,hypertrophy
I want to be more functional and strong,maintain,strength
I aim for muscle gain and an athletic look,bulk,hypertrophy
I’d like to put on muscle mass,bulk,hypertrophy
I want to burn fat and look leaner,cut,hypertrophy
I want to get leaner but maintain my strength,cut,strength
I'm cutting weight but want to keep getting stronger,cut,strength
I'd like to lose fat while improving my lifts,cut,strength
I want to preserve muscle and increase strength during a cut,cut,strength
I'm maintaining my weight but want bigger muscles,maintain,hypertrophy
I want to maintain my shape and grow some muscle,maintain,hypertrophy
I’m happy with my size but want more muscle definition,maintain,hypertrophy
I want to stay lean and gain a bit more muscle,maintain,hypertrophy
I'd like to bulk up and also get stronger,bulk,strength
My goal is to gain mass and power,bulk,strength
I want to increase bodyweight and lift heavier,bulk,strength
I'd like to build strength and add more size,bulk,strength
I want to get bigger and more muscular,bulk,hypertrophy
My focus is purely on building muscle mass,bulk,hypertrophy
I'm aiming for hypertrophy and growth,bulk,hypertrophy
I'm training to gain muscle size and shape,bulk,hypertrophy
I want to slim down and improve my performance,cut,strength
I'd like to lose fat but not compromise strength,cut,strength
My goal is fat loss while staying strong,cut,strength
I want to retain strength while cutting,cut,strength
I'm satisfied with my weight and want to stay strong,maintain,strength
I just want to feel strong without gaining or losing,maintain,strength
